categoria,domanda,risposta
Noleggio,Come posso estendere il mio contratto di noleggio?,Per estendere il contratto di noleggio è necessario contattare il servizio clienti con almeno 30 giorni di anticipo rispetto alla scadenza.
Noleggio,Cosa succede se supero i chilometri contrattuali?,In caso di superamento dei chilometri contrattuali verrà addebitato un costo aggiuntivo per ogni chilometro eccedente secondo le tariffe previste dal contratto.
Manutenzione,Come prenoto un intervento di manutenzione?,È possibile prenotare un intervento di manutenzione attraverso l'app nella sezione "Servizi" o contattando direttamente il servizio clienti.
Manutenzione,Cosa fare in caso di guasto?,In caso di guasto contattare immediatamente il numero di assistenza stradale indicato nei documenti del veicolo e nell'app.
Fatturazione,Con quale frequenza vengono emesse le fatture?,Le fatture vengono emesse mensilmente e inviate all'indirizzo email registrato nel sistema.
Fatturazione,Come posso modificare i dati di fatturazione?,Per modificare i dati di fatturazione accedere alla sezione "Profilo" dell'app e selezionare "Dati di fatturazione".
Carburante,Come funziona la fuel card?,La fuel card permette di effettuare rifornimenti presso le stazioni convenzionate. Il costo verrà addebitato direttamente sul contratto di noleggio.
Carburante,Cosa fare in caso di smarrimento della fuel card?,In caso di smarrimento della fuel card è necessario bloccarla immediatamente tramite app o contattando il servizio clienti.
Sinistri,Come devo comportarmi in caso di incidente?,In caso di incidente compilare il modulo CAI (Constatazione Amichevole di Incidente) e contattare il numero di assistenza entro 24 ore.
Sinistri,Chi copre i costi in caso di danno al veicolo?,La copertura dei danni dipende dalla polizza assicurativa inclusa nel contratto di noleggio. Verificare i dettagli nella sezione "Assicurazione" dell'app.
